index,Year,Average Open,Average High,Highest High,Lowest Low,Average Volume,Highest Volume Day,Lowest Volume Day,Start Price,End Price,Q1 Std Dev,Q2 Std Dev,Q3 Std Dev,Q4 Std Dev,Annual Std Dev,Q1 Performance,Q2 Performance,Q3 Performance,Q4 Performance,Yearly Performance (%),Price Range,Price Difference,Probability of Positive Day if Price is Above EMA,Probability of Negative Day if Price is Below EMA,Difference,Close
0,1995,32.30542655393544,32.42633472107714,37.63615993951307,26.931793134773955,313794.84126984124,"1,349,800","9,500",26.987056732177734,37.07732009887695,0.8261266972949705,0.8647894124705553,0.6998742980524976,0.9050590043675824,2.937840754569425,10.046427342163646,8.940872594293667,7.667485373250875,6.319094552550336,37.389269481425885,10.704366804739117,10.090263366699219,0.72,0.76,-0.040000000000000036,26.987056732177734
0,1995,32.30542655393544,32.42633472107714,37.63615993951307,26.931793134773955,313794.84126984124,"1,349,800","9,500",26.987056732177734,37.07732009887695,0.8261266972949705,0.8647894124705553,0.6998742980524976,0.9050590043675824,2.937840754569425,10.046427342163646,8.940872594293667,7.667485373250875,6.319094552550336,37.389269481425885,10.704366804739117,10.090263366699219,0.72,0.76,-0.040000000000000036,27.11602210998535
0,1995,32.30542655393544,32.42633472107714,37.63615993951307,26.931793134773955,313794.84126984124,"1,349,800","9,500",26.987056732177734,37.07732009887695,0.8261266972949705,0.8647894124705553,0.6998742980524976,0.9050590043675824,2.937840754569425,10.046427342163646,8.940872594293667,7.667485373250875,6.319094552550336,37.389269481425885,10.704366804739117,10.090263366699219,0.72,0.76,-0.040000000000000036,27.11602210998535
0,1995,32.30542655393544,32.42633472107714,37.63615993951307,26.931793134773955,313794.84126984124,"1,349,800","9,500",26.987056732177734,37.07732009887695,0.8261266972949705,0.8647894124705553,0.6998742980524976,0.9050590043675824,2.937840754569425,10.046427342163646,8.940872594293667,7.667485373250875,6.319094552550336,37.389269481425885,10.704366804739117,10.090263366699219,0.72,0.76,-0.040000000000000036,27.143651962280273
0,1995,32.30542655393544,32.42633472107714,37.63615993951307,26.931793134773955,313794.84126984124,"1,349,800","9,500",26.987056732177734,37.07732009887695,0.8261266972949705,0.8647894124705553,0.6998742980524976,0.9050590043675824,2.937840754569425,10.046427342163646,8.940872594293667,7.667485373250875,6.319094552550336,37.389269481425885,10.704366804739117,10.090263366699219,0.72,0.76,-0.040000000000000036,27.171276092529297
0,1995,32.30542655393544,32.42633472107714,37.63615993951307,26.931793134773955,313794.84126984124,"1,349,800","9,500",26.987056732177734,37.07732009887695,0.8261266972949705,0.8647894124705553,0.6998742980524976,0.9050590043675824,2.937840754569425,10.046427342163646,8.940872594293667,7.667485373250875,6.319094552550336,37.389269481425885,10.704366804739117,10.090263366699219,0.72,0.76,-0.040000000000000036,27.19890785217285
0,1995,32.30542655393544,32.42633472107714,37.63615993951307,26.931793134773955,313794.84126984124,"1,349,800","9,500",26.987056732177734,37.07732009887695,0.8261266972949705,0.8647894124705553,0.6998742980524976,0.9050590043675824,2.937840754569425,10.046427342163646,8.940872594293667,7.667485373250875,6.319094552550336,37.389269481425885,10.704366804739117,10.090263366699219,0.72,0.76,-0.040000000000000036,27.217329025268555
0,1995,32.30542655393544,32.42633472107714,37.63615993951307,26.931793134773955,313794.84126984124,"1,349,800","9,500",26.987056732177734,37.07732009887695,0.8261266972949705,0.8647894124705553,0.6998742980524976,0.9050590043675824,2.937840754569425,10.046427342163646,8.940872594293667,7.667485373250875,6.319094552550336,37.389269481425885,10.704366804739117,10.090263366699219,0.72,0.76,-0.040000000000000036,27.22654914855957
0,1995,32.30542655393544,32.42633472107714,37.63615993951307,26.931793134773955,313794.84126984124,"1,349,800","9,500",26.987056732177734,37.07732009887695,0.8261266972949705,0.8647894124705553,0.6998742980524976,0.9050590043675824,2.937840754569425,10.046427342163646,8.940872594293667,7.667485373250875,6.319094552550336,37.389269481425885,10.704366804739117,10.090263366699219,0.72,0.76,-0.040000000000000036,27.548908233642578
0,1995,32.30542655393544,32.42633472107714,37.63615993951307,26.931793134773955,313794.84126984124,"1,349,800","9,500",26.987056732177734,37.07732009887695,0.8261266972949705,0.8647894124705553,0.6998742980524976,0.9050590043675824,2.937840754569425,10.046427342163646,8.940872594293667,7.667485373250875,6.319094552550336,37.389269481425885,10.704366804739117,10.090263366699219,0.72,0.76,-0.040000000000000036,27.71470069885254
0,1995,32.30542655393544,32.42633472107714,37.63615993951307,26.931793134773955,313794.84126984124,"1,349,800","9,500",26.987056732177734,37.07732009887695,0.8261266972949705,0.8647894124705553,0.6998742980524976,0.9050590043675824,2.937840754569425,10.046427342163646,8.940872594293667,7.667485373250875,6.319094552550336,37.389269481425885,10.704366804739117,10.090263366699219,0.72,0.76,-0.040000000000000036,27.723913192749023
0,1995,32.30542655393544,32.42633472107714,37.63615993951307,26.931793134773955,313794.84126984124,"1,349,800","9,500",26.987056732177734,37.07732009887695,0.8261266972949705,0.8647894124705553,0.6998742980524976,0.9050590043675824,2.937840754569425,10.046427342163646,8.940872594293667,7.667485373250875,6.319094552550336,37.389269481425885,10.704366804739117,10.090263366699219,0.72,0.76,-0.040000000000000036,27.696300506591797
0,1995,32.30542655393544,32.42633472107714,37.63615993951307,26.931793134773955,313794.84126984124,"1,349,800","9,500",26.987056732177734,37.07732009887695,0.8261266972949705,0.8647894124705553,0.6998742980524976,0.9050590043675824,2.937840754569425,10.046427342163646,8.940872594293667,7.667485373250875,6.319094552550336,37.389269481425885,10.704366804739117,10.090263366699219,0.72,0.76,-0.040000000000000036,27.53971290588379
